months_as_customer,age,policy_number,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year
101,26,865839,1000,1371.88,0,462420,0,0,Parked Car,Trivial Damage,None,VA,Arlington,4,1,2,2,3190,580,580,2030,Suburu,1995
96,30,406567,500,1399.27,6000000,448913,38900,-48700,Single Vehicle Collision,Total Loss,Fire,NC,Arlington,22,1,0,0,53440,0,6680,46760,Ford,2004
121,31,623032,1000,1061.98,6000000,440837,0,0,Single Vehicle Collision,Minor Damage,Police,WV,Hillsdale,16,1,0,1,65250,7250,7250,50750,BMW,2002
176,39,935442,500,1365.46,4000000,466634,0,-56600,Multi-vehicle Collision,Minor Damage,Fire,SC,Columbus,14,3,2,1,44280,4920,4920,34440,Chevrolet,2008
159,37,106873,1000,894.4,0,446435,0,-53700,Single Vehicle Collision,Total Loss,Police,NY,Springfield,13,1,2,0,70290,7810,7810,54670,Dodge,1999
120,30,563878,500,956.69,0,438237,39600,-64300,Single Vehicle Collision,Minor Damage,Other,NY,Hillsdale,20,1,1,1,87100,8710,8710,69680,Saab,2000
212,35,620855,2000,1123.89,0,468313,35400,-49200,Multi-vehicle Collision,Total Loss,Fire,NY,Columbus,0,3,1,3,50380,4580,4580,41220,Suburu,1996
290,45,583169,500,1085.03,0,476303,0,-61000,Multi-vehicle Collision,Total Loss,Police,VA,Arlington,23,3,2,2,64800,12960,6480,45360,Audi,2014
299,42,337677,2000,1437.33,0,450339,25000,0,Single Vehicle Collision,Minor Damage,Other,SC,Columbus,13,1,1,3,70400,12800,12800,44800,BMW,2000
66,26,445973,1000,988.29,0,476502,0,0,Single Vehicle Collision,Major Damage,Police,NY,Northbend,8,1,2,2,57860,0,10520,47340,Suburu,2008
334,47,156694,500,1238.89,0,600561,0,0,Vehicle Theft,Minor Damage,None,WV,Northbend,3,1,0,3,6240,960,960,4320,Ford,2011
216,38,421940,1000,1384.64,5000000,600754,0,0,Single Vehicle Collision,Total Loss,Police,VA,Columbus,16,1,2,3,66600,16650,11100,38850,Jeep,2012
86,28,613226,2000,1595.07,0,439304,75800,0,Single Vehicle Collision,Minor Damage,Police,VA,Hillsdale,19,1,0,2,70920,11820,11820,47280,Jeep,2002
429,56,804410,1000,1127.89,6000000,460722,67400,-43800,Single Vehicle Collision,Minor Damage,Ambulance,WV,Springfield,0,1,2,0,39480,6580,6580,26320,Suburu,2002
257,43,553565,2000,929.7,6000000,618632,46400,-74300,Single Vehicle Collision,Total Loss,Other,VA,Arlington,12,1,2,2,63240,10540,5270,47430,Mercedes,2005
15,34,399524,1000,1829.63,0,452204,56700,0,Multi-vehicle Collision,Total Loss,Other,SC,Arlington,21,3,1,0,67650,12300,6150,49200,Audi,2009
230,39,331595,1000,904.7,7000000,454530,68600,-22300,Single Vehicle Collision,Major Damage,Fire,SC,Riverwood,0,1,1,3,74200,14840,14840,44520,Accura,2002
250,43,380067,1000,1243.84,0,474848,47900,-73400,Single Vehicle Collision,Minor Damage,Other,VA,Columbus,22,1,1,3,64900,12980,12980,38940,Volkswagen,2011
270,44,701521,2000,1030.95,0,435985,47200,0,Multi-vehicle Collision,Major Damage,Ambulance,NC,Northbend,20,3,1,0,35900,7180,3590,25130,Audi,2007
65,26,360770,500,1285.03,3000000,457942,0,-41500,Single Vehicle Collision,Minor Damage,Fire,VA,Riverwood,0,1,1,3,52200,5220,10440,36540,Honda,2011
475,57,958785,500,1216.56,0,436522,67400,-83200,Single Vehicle Collision,Minor Damage,Police,SC,Hillsdale,20,1,0,2,78000,6500,13000,58500,Suburu,2000
77,27,797934,2000,966.26,0,471704,56400,-32800,Multi-vehicle Collision,Minor Damage,Ambulance,NY,Springfield,1,3,0,0,67200,6720,6720,53760,Volkswagen,1995
256,43,883980,500,1203.17,0,455810,56700,-65600,Single Vehicle Collision,Total Loss,Fire,WV,Hillsdale,11,1,0,0,63250,11500,5750,46000,Nissan,1997
229,37,340614,2000,1212.12,0,446544,65600,0,Multi-vehicle Collision,Major Damage,Other,WV,Columbus,14,3,1,1,68760,11460,5730,51570,Ford,1995
110,28,435784,1000,1573.93,0,461919,30400,0,Multi-vehicle Collision,Minor Damage,Police,NY,Springfield,20,3,0,2,65040,10840,10840,43360,Suburu,2010
177,33,563837,1000,1609.67,0,470128,0,-13200,Single Vehicle Collision,Major Damage,Ambulance,SC,Springfield,22,1,1,3,82800,20700,13800,48300,Jeep,2004
292,44,200827,500,1097.57,0,462836,0,0,Single Vehicle Collision,Total Loss,Other,SC,Columbus,12,1,1,0,61700,6170,6170,49360,Saab,2005
451,61,533941,2000,1618.65,2000000,475407,0,-42600,Multi-vehicle Collision,Major Damage,Ambulance,OH,Columbus,3,3,2,1,78100,15620,7810,54670,Chevrolet,1997
61,24,265026,500,922.67,0,473611,47400,0,Multi-vehicle Collision,Major Damage,Ambulance,SC,Northbend,15,3,2,1,65520,9360,9360,46800,Toyota,2011
150,30,354481,1000,1342.02,0,608425,0,0,Parked Car,Trivial Damage,None,VA,Arlington,8,1,0,2,4500,450,450,3600,Saab,1999
283,41,566720,500,1195.01,0,476227,60700,-54300,Multi-vehicle Collision,Major Damage,Other,WV,Northbend,13,3,0,2,42700,0,6100,36600,Mercedes,2011
291,46,832746,1000,994.74,0,452701,0,-55300,Parked Car,Minor Damage,Police,SC,Hillsdale,8,1,2,2,5580,620,620,4340,Volkswagen,2005
162,31,386690,1000,1050.24,0,456789,30700,0,Parked Car,Minor Damage,None,NC,Arlington,7,1,0,0,3600,360,720,2520,BMW,2013
154,36,979285,2000,1313.51,7000000,600904,68500,0,Vehicle Theft,Trivial Damage,None,SC,Northbrook,9,1,2,0,2800,280,280,2240,Volkswagen,2015
289,47,594722,2000,1102.29,0,450889,73000,-37900,Single Vehicle Collision,Minor Damage,Ambulance,VA,Northbend,15,1,1,0,54000,6000,6000,42000,Toyota,1996
10,19,216738,1000,1185.78,0,478837,0,-60700,Single Vehicle Collision,Minor Damage,Police,NC,Northbend,5,1,0,2,48950,4450,8900,35600,Accura,2011
309,47,369048,500,1527.95,0,611322,69400,0,Multi-vehicle Collision,Major Damage,Other,WV,Northbend,15,4,0,1,77800,15560,15560,46680,Dodge,2002
396,57,514424,1000,1366.39,0,438180,0,-22400,Multi-vehicle Collision,Major Damage,Other,NC,Columbus,22,3,2,1,52560,11680,5840,35040,Saab,1995
273,41,954191,1000,1403.9,0,449793,0,0,Multi-vehicle Collision,Total Loss,Police,VA,Riverwood,16,2,1,2,44110,4010,8020,32080,Honda,2015
129,30,150181,2000,927.23,0,450730,51500,0,Single Vehicle Collision,Total Loss,Other,SC,Hillsdale,7,1,1,3,74360,13520,6760,54080,Suburu,2009
140,31,388671,2000,1554.86,6000000,608758,59000,0,Parked Car,Minor Damage,None,WV,Arlington,2,1,1,2,6120,680,680,4760,Honda,2002
419,53,457244,2000,736.07,6000000,445339,45700,0,Multi-vehicle Collision,Minor Damage,Police,SC,Northbend,17,4,0,0,62280,5190,10380,46710,Suburu,2012
315,44,206667,1000,974.16,6000000,438328,0,-56800,Multi-vehicle Collision,Total Loss,Other,NY,Springfield,12,3,1,0,26730,4860,4860,17010,Volkswagen,2006
72,29,745200,500,973.8,0,479913,0,-85900,Single Vehicle Collision,Major Damage,Ambulance,WV,Arlington,9,1,1,0,66200,6620,6620,52960,Dodge,2013
32,26,412703,2000,1260.32,6000000,460760,0,-79800,Single Vehicle Collision,Total Loss,Fire,VA,Northbrook,16,1,1,2,45500,9100,4550,31850,Toyota,2009
230,41,736771,1000,1464.03,0,444797,0,0,Multi-vehicle Collision,Minor Damage,Ambulance,NY,Springfield,19,3,2,0,53040,4420,4420,44200,Audi,2006
157,32,347984,2000,617.11,0,436711,0,-54100,Multi-vehicle Collision,Major Damage,Other,VA,Columbus,14,3,1,2,50800,10160,5080,35560,Mercedes,2013
265,41,626074,2000,1724.46,6000000,432491,81800,0,Multi-vehicle Collision,Total Loss,Police,SC,Northbend,18,3,1,3,44200,4420,4420,35360,Audi,2014
47,34,218109,500,1161.31,0,617527,64800,-24300,Single Vehicle Collision,Minor Damage,Police,SC,Springfield,23,1,1,3,62920,11440,5720,45760,Chevrolet,2012
113,29,999435,2000,1091.73,0,601213,36100,-42300,Multi-vehicle Collision,Minor Damage,Other,NY,Springfield,15,3,0,2,49950,5550,5550,38850,Nissan,2004
289,46,858060,2000,1209.07,0,604138,0,0,Single Vehicle Collision,Minor Damage,Ambulance,NC,Arlington,18,1,0,1,56430,6270,6270,43890,BMW,1995
254,41,500384,2000,1241.04,0,431361,0,0,Single Vehicle Collision,Minor Damage,Police,NY,Riverwood,16,1,2,2,100210,18220,18220,63770,Audi,2014
115,30,903785,500,1757.21,0,477695,46400,0,Multi-vehicle Collision,Minor Damage,Fire,NY,Northbend,12,3,1,0,49140,5460,5460,38220,Ford,2007
236,38,873859,1000,802.24,0,612597,0,-62500,Single Vehicle Collision,Major Damage,Ambulance,WV,Northbrook,16,1,0,1,66840,16710,5570,44560,Mercedes,2014
7,21,204294,1000,1342.72,0,445638,0,-45300,Single Vehicle Collision,Total Loss,Other,NY,Hillsdale,21,1,1,2,62460,6940,6940,48580,Honda,2003
208,36,467106,2000,1209.41,5000000,476185,0,0,Multi-vehicle Collision,Total Loss,Other,NY,Columbus,15,3,0,1,62810,11420,11420,39970,Nissan,1999
126,33,357713,1000,1141.71,2000000,435995,36700,-73400,Single Vehicle Collision,Major Damage,Ambulance,WV,Northbrook,21,1,1,2,54160,6770,6770,40620,Suburu,2009
48,35,890026,500,1090.03,0,430232,0,-51000,Single Vehicle Collision,Major Damage,Ambulance,WV,Arlington,1,1,0,2,48400,9680,4840,33880,Saab,2005
297,48,751612,1000,1464.73,3000000,443861,54900,-36700,Multi-vehicle Collision,Total Loss,Fire,NY,Arlington,17,3,0,0,51480,5720,5720,40040,Toyota,2013
160,36,876680,1000,1118.58,0,460801,0,-36600,Multi-vehicle Collision,Total Loss,Fire,NY,Columbus,5,3,2,1,51700,5170,10340,36190,Saab,2003
406,58,756981,2000,1117.04,0,605121,0,-42700,Multi-vehicle Collision,Total Loss,Other,WV,Northbend,15,3,1,2,65520,10920,5460,49140,Volkswagen,2009
157,31,121439,500,1257.83,7000000,458622,40700,-41600,Multi-vehicle Collision,Major Damage,Other,OH,Arlington,2,4,2,2,47700,4770,9540,33390,Accura,2011
146,31,411289,2000,1082.72,0,478661,61400,-57500,Vehicle Theft,Minor Damage,None,SC,Northbend,3,1,2,0,5220,580,580,4060,Accura,2015
409,57,538466,1000,1191.8,6000000,435299,55600,0,Single Vehicle Collision,Major Damage,Other,NY,Riverwood,19,1,1,0,73320,6110,12220,54990,Ford,2012
252,46,932097,1000,1242.02,0,601961,0,-28800,Single Vehicle Collision,Minor Damage,Fire,VA,Hillsdale,17,1,0,2,74900,14980,7490,52430,Jeep,2003
6,27,463727,500,1075.71,0,604328,0,-47400,Vehicle Theft,Trivial Damage,Police,WV,Columbus,7,1,0,1,3190,580,290,2320,Saab,2015
103,33,552618,1000,969.88,6000000,614385,0,0,Single Vehicle Collision,Minor Damage,Ambulance,NY,Columbus,21,1,1,0,76920,12820,6410,57690,Chevrolet,2002
369,53,936638,2000,1459.93,0,438584,0,0,Multi-vehicle Collision,Total Loss,Police,WV,Springfield,10,2,1,3,77990,7090,14180,56720,Jeep,2012
261,46,348814,1000,1245.61,0,478703,0,0,Single Vehicle Collision,Total Loss,Fire,NY,Columbus,11,1,1,0,59670,9180,9180,41310,Ford,2008
159,33,944102,2000,1462.76,0,615683,69200,-36900,Multi-vehicle Collision,Major Damage,Ambulance,NY,Columbus,23,3,2,0,44880,8160,4080,32640,Mercedes,2004
344,51,689901,2000,1398.46,0,455672,0,0,Single Vehicle Collision,Minor Damage,Ambulance,NC,Northbend,14,1,0,2,82830,7530,15060,60240,Audi,2004
437,60,901083,1000,1269.64,0,602942,48800,0,Single Vehicle Collision,Minor Damage,Other,SC,Riverwood,10,1,1,3,84480,7680,15360,61440,Chevrolet,2012
65,30,396224,500,1455.65,4000000,616706,0,-66300,Multi-vehicle Collision,Total Loss,Fire,WV,Hillsdale,6,3,2,3,79800,15960,7980,55860,Honda,1999
280,41,682178,2000,1140.31,0,473243,29300,-64700,Multi-vehicle Collision,Minor Damage,Police,WV,Arlington,10,3,0,3,53020,9640,9640,33740,Toyota,1999
269,45,596298,500,1330.46,0,435552,54800,-64100,Multi-vehicle Collision,Total Loss,Police,VA,Hillsdale,5,3,0,0,24200,2200,4400,17600,Suburu,2008
275,40,253005,2000,1190.6,0,434206,0,-45300,Single Vehicle Collision,Minor Damage,Fire,OH,Riverwood,17,1,1,3,43230,7860,7860,27510,Chevrolet,2001
265,45,985924,500,972.5,0,469895,0,0,Vehicle Theft,Trivial Damage,None,NC,Springfield,3,1,2,3,3190,290,580,2320,Ford,1995
283,43,631565,2000,1161.91,0,457722,0,-50400,Parked Car,Minor Damage,None,WV,Northbrook,9,1,0,3,5850,1300,650,3900,BMW,2006
84,29,630998,1000,1117.17,0,473645,0,-29900,Parked Car,Trivial Damage,Police,SC,Arlington,6,1,2,0,6820,620,1240,4960,BMW,2005
247,44,926665,2000,1101.51,0,619108,64000,0,Multi-vehicle Collision,Minor Damage,Fire,NY,Riverwood,22,3,2,2,69480,11580,11580,46320,Chevrolet,2008
56,29,302669,1000,1523.17,0,610479,0,0,Multi-vehicle Collision,Major Damage,Fire,PA,Northbend,10,3,1,2,94560,7880,15760,70920,Jeep,1995
210,39,620020,1000,984.45,0,474998,0,0,Vehicle Theft,Minor Damage,None,NC,Riverwood,4,1,1,2,7800,780,780,6240,Dodge,1997
108,32,439828,2000,1257,4000000,616341,63900,-43700,Single Vehicle Collision,Total Loss,Other,WV,Northbrook,23,1,1,3,61270,5570,11140,44560,Suburu,1999
328,49,971295,500,1434.51,0,460535,0,0,Single Vehicle Collision,Total Loss,Police,NY,Riverwood,19,1,0,2,71440,8930,8930,53580,Mercedes,2005
186,37,165565,2000,1628,0,606487,0,0,Single Vehicle Collision,Total Loss,Ambulance,NY,Hillsdale,22,1,1,2,55600,11120,5560,38920,Jeep,2009
277,44,936543,500,1412.31,0,620737,0,0,Vehicle Theft,Trivial Damage,Police,NC,Riverwood,6,1,1,3,5000,1000,500,3500,Jeep,2005
138,33,296960,500,1362.87,5000000,445904,56900,-56900,Single Vehicle Collision,Minor Damage,Other,NY,Springfield,6,1,2,0,95810,14740,14740,66330,BMW,2007
208,41,501692,1000,1134.68,0,464145,0,0,Single Vehicle Collision,Major Damage,Ambulance,SC,Northbend,18,1,2,2,69300,6930,13860,48510,Volkswagen,1996
147,37,525224,1000,1306.78,0,466818,0,0,Single Vehicle Collision,Total Loss,Ambulance,SC,Northbend,22,1,1,0,81120,13520,20280,47320,Toyota,1995
8,21,355085,500,1021.9,0,464237,0,0,Single Vehicle Collision,Major Damage,Other,WV,Columbus,21,1,0,0,91260,14040,14040,63180,Toyota,2012
297,48,830729,1000,1538.6,0,618455,0,-54700,Single Vehicle Collision,Minor Damage,Fire,SC,Northbend,12,1,0,0,60600,6060,12120,42420,Ford,2004
150,31,651948,1000,1354.5,0,456602,52800,0,Multi-vehicle Collision,Major Damage,Ambulance,NY,Arlington,6,3,0,3,64800,6480,12960,45360,Suburu,2000
4,34,424358,500,1282.93,0,616126,0,0,Multi-vehicle Collision,Major Damage,Police,WV,Northbrook,0,4,0,0,66880,6080,12160,48640,Chevrolet,1996
210,35,131478,1000,1346.27,0,468508,44900,-91400,Single Vehicle Collision,Total Loss,Ambulance,WV,Arlington,11,1,0,2,58200,5820,5820,46560,BMW,2013
91,31,268833,1000,1338.4,4000000,431937,63600,0,Single Vehicle Collision,Minor Damage,Police,NC,Hillsdale,19,1,1,0,60570,6730,6730,47110,Nissan,2011
167,36,287489,1000,949.44,0,448603,0,-38400,Multi-vehicle Collision,Major Damage,Ambulance,NC,Springfield,22,3,0,0,69680,8710,8710,52260,Mercedes,2008
467,58,808153,2000,977.4,0,444500,82200,0,Single Vehicle Collision,Total Loss,Fire,NY,Columbus,2,1,2,3,55700,5570,11140,38990,Nissan,2014
264,47,687639,2000,1181.46,10000000,601117,0,-67400,Multi-vehicle Collision,Total Loss,Ambulance,OH,Arlington,16,4,1,2,62370,5670,5670,51030,Dodge,2001
270,45,497347,500,1187.53,0,615383,83200,-53300,Multi-vehicle Collision,Total Loss,Other,VA,Columbus,23,3,0,0,54340,9880,0,44460,Saab,2005
310,48,439660,1000,845.16,0,434342,0,0,Single Vehicle Collision,Major Damage,Police,NC,Northbend,21,1,1,0,55170,6130,6130,42910,Audi,2005
143,34,847123,500,1442.27,0,435100,67900,0,Single Vehicle Collision,Minor Damage,Other,NY,Columbus,10,1,2,3,58500,11700,5850,40950,Dodge,1999
146,32,172307,2000,1276.43,0,431278,0,0,Single Vehicle Collision,Major Damage,Fire,NC,Riverwood,12,1,0,3,59940,6660,6660,46620,Honda,1995
102,28,810189,500,1075.41,0,445648,55200,0,Single Vehicle Collision,Total Loss,Police,PA,Northbend,6,1,1,0,73400,7340,7340,58720,Dodge,1996
61,23,432068,500,1111.72,0,448857,54600,0,Single Vehicle Collision,Major Damage,Fire,PA,Riverwood,6,1,1,2,41850,4650,4650,32550,Suburu,1997
255,44,903203,2000,814.96,6000000,435267,68500,0,Parked Car,Trivial Damage,Police,NC,Hillsdale,7,1,2,2,6400,640,1280,4480,Mercedes,2005
211,40,253085,1000,1575.86,0,461275,0,0,Vehicle Theft,Trivial Damage,Police,WV,Northbrook,3,1,1,1,3190,580,290,2320,Audi,2004
61,29,180720,1000,1115.27,0,613816,0,-66000,Parked Car,Trivial Damage,None,VA,Hillsdale,10,1,2,1,5900,590,590,4720,Nissan,2010
108,31,492224,2000,1175.7,0,608767,0,0,Single Vehicle Collision,Total Loss,Fire,NY,Columbus,14,1,0,2,57330,6370,6370,44590,Dodge,2006
303,50,411477,500,793.15,0,620869,54600,-45500,Multi-vehicle Collision,Total Loss,Other,WV,Hillsdale,17,3,0,3,81960,13660,13660,54640,Dodge,2008
152,33,107181,500,942.51,0,478981,0,0,Single Vehicle Collision,Major Damage,Fire,SC,Hillsdale,16,1,0,0,70400,6400,19200,44800,Suburu,2001
120,34,312940,1000,1056.71,0,464630,77900,0,Parked Car,Minor Damage,None,VA,Columbus,3,1,2,1,3770,580,580,2610,Jeep,2002
144,36,855186,2000,1255.68,6000000,466303,23600,-15600,Parked Car,Minor Damage,None,NC,Arlington,7,1,0,0,7400,740,1480,5180,Dodge,2014
414,52,373935,500,1335.13,0,452647,44000,-71000,Single Vehicle Collision,Total Loss,Police,SC,Northbend,13,1,1,1,54810,6090,6090,42630,Chevrolet,1999
163,37,812989,500,1178.95,6000000,441370,0,-67300,Single Vehicle Collision,Total Loss,Fire,NY,Springfield,20,1,2,3,49400,4940,9880,34580,Jeep,2005
352,53,993840,500,1793.16,0,619166,0,0,Single Vehicle Collision,Minor Damage,Fire,NC,Riverwood,23,1,2,2,68750,12500,6250,50000,Chevrolet,2009
27,32,327856,500,1008.38,0,472803,37900,0,Single Vehicle Collision,Total Loss,Ambulance,SC,Arlington,11,1,1,0,61500,12300,6150,43050,Dodge,2013
239,39,506333,500,1396.83,0,442308,0,0,Multi-vehicle Collision,Major Damage,Ambulance,WV,Northbend,0,4,0,3,76890,6990,13980,55920,BMW,2007
33,32,263159,500,1402.78,5000000,469383,70300,-50300,Single Vehicle Collision,Minor Damage,Ambulance,NY,Northbrook,2,1,0,1,56070,6230,12460,37380,Toyota,2012
88,30,372912,1000,1437.88,0,614383,42800,-51200,Single Vehicle Collision,Total Loss,Fire,SC,Northbrook,3,1,2,0,56000,14000,0,42000,Chevrolet,2003
101,33,552788,1000,1313.64,0,438617,12100,0,Parked Car,Trivial Damage,None,NY,Hillsdale,3,1,1,0,4290,780,390,3120,Audi,1997
20,37,722747,500,1482.14,0,613936,33000,-43600,Multi-vehicle Collision,Total Loss,Other,NY,Arlington,15,3,2,1,60750,6750,6750,47250,Suburu,2003
126,30,248467,2000,1171.75,0,472163,46500,-42700,Single Vehicle Collision,Minor Damage,Other,NY,Northbend,23,1,2,3,48730,4430,4430,39870,Chevrolet,2011
264,43,955953,2000,1353.33,0,447458,0,-8500,Multi-vehicle Collision,Minor Damage,Police,WV,Springfield,9,3,2,0,95150,17300,17300,60550,Ford,2007
78,24,910622,500,1175.51,0,474792,0,0,Vehicle Theft,Minor Damage,Police,NY,Columbus,20,1,0,1,7480,680,680,6120,Dodge,2003
123,28,137675,2000,1836.02,0,470559,38000,-41200,Single Vehicle Collision,Major Damage,Ambulance,NC,Riverwood,5,1,2,1,79800,13300,6650,59850,Volkswagen,2011
347,51,343421,500,1480.79,9000000,432399,0,-12100,Single Vehicle Collision,Total Loss,Other,NC,Hillsdale,15,1,0,2,103560,8630,17260,77670,Jeep,1997
163,38,413192,2000,1453.92,0,607605,51700,0,Single Vehicle Collision,Minor Damage,Ambulance,NY,Hillsdale,13,1,2,3,79500,15900,7950,55650,Accura,1995
271,44,247801,500,1340.71,0,600153,0,0,Single Vehicle Collision,Minor Damage,Other,SC,Riverwood,16,1,2,2,76230,6930,13860,55440,Volkswagen,1997
410,54,171147,2000,714.03,0,465979,0,-17000,Single Vehicle Collision,Minor Damage,Ambulance,WV,Northbend,0,1,0,2,59520,9920,9920,39680,Honda,2001
448,57,431283,2000,1376.16,0,466555,38600,-50300,Multi-vehicle Collision,Major Damage,Police,SC,Arlington,10,3,2,1,47760,5970,5970,35820,Suburu,2013
218,41,461962,500,914.22,0,444155,37900,-72900,Multi-vehicle Collision,Total Loss,Police,NY,Springfield,14,3,2,0,84590,15380,7690,61520,Saab,2013
43,38,149467,1000,1601.47,0,465764,64400,0,Multi-vehicle Collision,Total Loss,Other,SC,Columbus,1,3,2,2,61650,6850,6850,47950,Nissan,2006
33,33,758740,1000,1096.79,6000000,446898,45500,-60600,Single Vehicle Collision,Major Damage,Police,VA,Springfield,16,1,2,1,81400,8140,8140,65120,BMW,1998
126,34,628337,2000,1078.22,0,453274,54500,0,Multi-vehicle Collision,Major Damage,Fire,SC,Northbend,2,3,0,1,58410,10620,5310,42480,Chevrolet,2007
411,56,574637,1000,1595.28,0,479320,0,0,Multi-vehicle Collision,Major Damage,Ambulance,VA,Springfield,23,3,0,0,38610,3510,3510,31590,Volkswagen,2007
225,37,373600,1000,1217.84,5000000,443462,49600,0,Multi-vehicle Collision,Minor Damage,Fire,WV,Northbrook,19,3,2,2,57600,9600,9600,38400,Volkswagen,2015
35,35,930032,2000,1117.42,0,446158,0,-51900,Multi-vehicle Collision,Minor Damage,Fire,NC,Hillsdale,23,3,2,2,53190,5910,11820,35460,Volkswagen,1996
460,57,396590,2000,1567.37,0,602514,62500,0,Single Vehicle Collision,Major Damage,Other,NY,Riverwood,10,1,2,3,58300,5830,11660,40810,Nissan,2014
195,38,238412,2000,1294.93,6000000,477356,38000,-50300,Multi-vehicle Collision,Minor Damage,Ambulance,WV,Springfield,12,3,1,2,64620,7180,0,57440,Dodge,2003
360,51,484321,1000,1152.12,0,434669,0,-62400,Multi-vehicle Collision,Total Loss,Ambulance,WV,Riverwood,15,3,2,0,90480,15080,15080,60320,BMW,2000
300,49,795847,1000,1441.21,0,609322,0,0,Vehicle Theft,Trivial Damage,None,SC,Columbus,3,1,1,0,7080,1180,1180,4720,Nissan,2001
245,42,218456,1000,1575.74,7000000,614265,0,-68900,Parked Car,Minor Damage,Police,PA,Springfield,19,1,2,2,6490,590,1180,4720,Toyota,2011
146,36,792673,2000,1233.96,0,606177,34500,-60600,Multi-vehicle Collision,Total Loss,Police,NC,Hillsdale,16,3,1,1,55900,5590,5590,44720,Nissan,2015
67,29,662256,1000,1861.43,0,461514,60400,-67800,Single Vehicle Collision,Major Damage,Other,SC,Columbus,16,1,0,3,63800,6380,6380,51040,Saab,1998
380,56,971338,1000,1570.86,0,454685,66000,0,Single Vehicle Collision,Total Loss,Police,VA,Northbend,10,1,0,1,58160,7270,7270,43620,Saab,1996
389,53,714738,2000,791.47,0,477260,0,0,Vehicle Theft,Minor Damage,Police,NC,Riverwood,6,1,1,2,6300,630,1260,4410,Mercedes,2001
317,46,753844,1000,1012.78,0,469126,43700,0,Single Vehicle Collision,Major Damage,Fire,WV,Arlington,18,1,2,1,104610,19020,19020,66570,Mercedes,1999
264,44,976645,500,1047.06,6000000,443402,0,0,Multi-vehicle Collision,Major Damage,Fire,SC,Springfield,20,3,0,2,69850,12700,6350,50800,Ford,1999
20,21,918037,1000,1390.29,0,479408,0,-41200,Single Vehicle Collision,Minor Damage,Fire,PA,Northbrook,14,1,0,0,62900,12580,6290,44030,Accura,2006
116,30,996253,500,951.46,0,467227,0,-35500,Multi-vehicle Collision,Major Damage,Other,WV,Riverwood,8,3,0,3,59670,6630,6630,46410,Volkswagen,2004
222,40,373731,1000,1226.78,0,468433,49600,-49200,Multi-vehicle Collision,Minor Damage,Other,NY,Springfield,17,2,2,0,81500,16300,8150,57050,BMW,2013
439,56,836272,500,1280.9,0,604289,48900,-40900,Single Vehicle Collision,Minor Damage,Ambulance,NC,Springfield,9,1,2,0,50000,15000,5000,30000,Jeep,2009
66,28,167231,2000,1472.77,0,471366,0,-31700,Single Vehicle Collision,Total Loss,Other,NY,Springfield,0,1,2,1,48290,8780,8780,30730,Nissan,1995
128,29,743330,1000,1878.44,0,450746,0,-76000,Single Vehicle Collision,Total Loss,Fire,VA,Riverwood,2,1,0,0,59070,5370,5370,48330,Chevrolet,2003
69,24,807369,500,1418.5,0,614948,0,0,Multi-vehicle Collision,Minor Damage,Police,NY,Springfield,23,3,0,0,63300,12660,6330,44310,Dodge,2012
294,46,735307,500,1532.8,0,473935,0,0,Single Vehicle Collision,Total Loss,Other,SC,Northbend,8,1,0,3,65780,11960,11960,41860,Mercedes,2013
19,29,789208,500,1304.35,0,617267,0,0,Multi-vehicle Collision,Total Loss,Ambulance,NY,Columbus,6,3,0,2,75400,11600,11600,52200,Dodge,2005
191,33,585324,2000,1551.61,0,470670,45000,-30400,Vehicle Theft,Minor Damage,None,WV,Arlington,3,1,1,1,2250,250,250,1750,Toyota,2005
4,39,498759,1000,1326.98,6000000,450368,64200,0,Multi-vehicle Collision,Minor Damage,Ambulance,VA,Northbend,14,3,1,3,54120,4510,9020,40590,Jeep,2007
298,49,795004,500,862.92,0,448809,0,-71700,Multi-vehicle Collision,Major Damage,Other,NY,Northbrook,16,3,0,2,69480,11580,11580,46320,Saab,2007
231,43,203250,2000,1331.69,0,469653,0,0,Single Vehicle Collision,Minor Damage,Police,NY,Northbend,12,1,1,2,66950,10300,10300,46350,Chevrolet,2015
338,47,430794,2000,1486.04,0,615688,0,-56200,Multi-vehicle Collision,Major Damage,Other,OH,Northbrook,1,3,2,3,64100,12820,6410,44870,Dodge,2014
261,46,156636,1000,870.55,0,465631,0,-49400,Single Vehicle Collision,Minor Damage,Other,SC,Springfield,19,1,0,3,80280,13380,13380,53520,Chevrolet,2013
321,44,284143,2000,1344.56,6000000,443344,0,-39100,Vehicle Theft,Trivial Damage,Police,NY,Northbend,7,1,1,2,4680,520,0,4160,Accura,1999
0,32,740518,1000,1377.04,0,441363,61400,-41100,Multi-vehicle Collision,Minor Damage,Ambulance,NY,Springfield,6,4,1,1,39720,6620,6620,26480,Accura,2002
405,58,445289,500,1237.88,0,462683,0,-46900,Single Vehicle Collision,Major Damage,Police,NY,Arlington,11,1,0,0,63580,5780,5780,52020,Mercedes,1997
304,49,599262,1000,1525.86,0,463184,0,0,Single Vehicle Collision,Minor Damage,Other,NC,Northbend,2,1,1,1,73370,13340,6670,53360,Saab,2013
